block_idx,rows,bias_type,stop_at,final_entropy,entropy_curve
1,0-19,race-color,10,6.033634940572242,"[5.079315061297314, 5.417122560088504, 5.565532515536553, 5.622994782916433, 5.812300324872105, 5.847265409772991, 5.979850072164469, 5.972684624365956, 5.941084196616081, 5.902831063433432, 5.906012829594087, 5.904363514859595, 5.916825097465015, 5.9541784218281215, 6.001178632023411, 6.038404414362684, 6.024192135316376, 6.027561092719552, 6.02696106330852, 6.033634940572242]"
2,20-39,race-color,12,6.128986909286412,"[5.147990615425209, 5.594152460743031, 5.7097323306000325, 5.816622473585657, 5.787656047604854, 5.80968069048997, 5.867381263154165, 5.905058253842945, 5.931845510357828, 5.942894095890596, 5.948668613821803, 5.945477382383422, 6.0061723004805625, 6.004718726045616, 6.019307878747749, 6.004880665518178, 6.061414544245252, 6.075809330793628, 6.097003916580176, 6.128986909286412]"
3,40-59,race-color,12,5.384855906794962,"[4.606298888701354, 4.813891405030293, 5.077030549378276, 5.227127234905504, 5.1962583634898705, 5.2087480327766595, 5.242645632475221, 5.2427944235716275, 5.2711147498454185, 5.252470686712836, 5.259114683614613, 5.274540652351006, 5.260396481197158, 5.303017922744687, 5.318320867084277, 5.379285274507115, 5.372822360521212, 5.367177393692393, 5.350471700228876, 5.384855906794962]"
4,60-79,race-color,19,5.6200137493822115,"[4.477177619613196, 4.949991324895862, 4.973908380279812, 5.1915578504032736, 5.239033761435651, 5.2630251977517295, 5.381156647907628, 5.440690937581863, 5.4862479856426, 5.4894804333261495, 5.553996812342993, 5.582646466258023, 5.582155826552887, 5.567914444215905, 5.59077680027297, 5.650313773282475, 5.647190100253989, 5.633511356809626, 5.620622653706452, 5.6200137493822115]"
5,80-99,socioeconomic,17,6.336939824308974,"[4.676263300416702, 5.038411255308171, 5.451372919260751, 5.668797711168652, 5.951136474566775, 6.066719972694042, 6.096359990694295, 6.109287251418183, 6.194069251995718, 6.23280675674552, 6.202450277107163, 6.230735721903195, 6.300499006544148, 6.373790408717791, 6.378174196382389, 6.370577965371132, 6.358154009554239, 6.360795975043617, 6.333006877410561, 6.336939824308974]"
6,100-119,socioeconomic,-1,6.406794013557412,"[4.700011686281852, 5.084162013015048, 5.593547136211783, 5.866543649160509, 6.062992615652052, 6.115173286671315, 6.133812039654286, 6.1450756016651455, 6.193235505904825, 6.209938047539497, 6.225793077941909, 6.251092935436539, 6.2528312114764235, 6.298475713661474, 6.330477973891009, 6.325670167258967, 6.354694298805859, 6.347593363654432, 6.412737174105751, 6.406794013557412]"
7,120-139,socioeconomic,-1,5.739202712742943,"[4.477177619613196, 4.490491273788276, 4.715756605892061, 5.042080646737475, 5.275341831120199, 5.364823411294662, 5.4685898071877705, 5.454149814523862, 5.493170447731792, 5.529975088679532, 5.607396880419418, 5.572435745886299, 5.568860460221225, 5.640795914386537, 5.589986373589536, 5.706746240112517, 5.70796516476322, 5.762494751112351, 5.745178341926442, 5.739202712742943]"
8,140-159,socioeconomic,20,5.980859937728242,"[4.580148281356701, 4.766039829235136, 4.969918625166729, 5.357139870210526, 5.396205911827065, 5.585704485613704, 5.6816577729873785, 5.715088867891702, 5.777967276043641, 5.780932425112697, 5.838382231499255, 5.865645807298238, 5.905754016165091, 5.876854891157116, 5.914955000828065, 5.909736864815524, 5.982943489641926, 5.98812842306718, 5.985543368087276, 5.980859937728242]"
9,160-179,gender,-1,6.166092698680343,"[5.0072082393096204, 5.396455476247601, 5.631352167089791, 5.69894896256885, 5.6499913412698195, 5.556775864072574, 5.727983142812319, 5.766348894134402, 5.83077054325456, 5.913211066053827, 6.005420305321301, 6.044314800815143, 6.054669321832738, 6.097629901870522, 6.1140349990087675, 6.1418811073830515, 6.143364697293503, 6.190220324664927, 6.180655528754496, 6.166092698680343]"
10,180-199,gender,15,6.2876887054021156,"[5.213546540829996, 5.57847099290728, 5.654864359102087, 5.966946232945297, 6.084538640661994, 6.127280955071671, 6.113435853855644, 6.06053349159365, 6.100550527291304, 6.197039350308036, 6.256014665918187, 6.315743614191132, 6.317384839016954, 6.3338701993740525, 6.2973292421365805, 6.2914521621300965, 6.300123328623088, 6.275787084586669, 6.268599871529769, 6.2876887054021156]"
