bias_type,metric,used_threshold,fairness_bugs,total_cases,fail_rate
age,BERT_similarity,0.9,41,1128,3.6347517730496453
age,LDA_similarity,0.1,6,1128,0.5319148936170213
age,LDA_similarity,0.2,19,1128,1.6843971631205674
age,LDA_similarity,0.4,77,1128,6.826241134751773
age,LDA_similarity,0.5,125,1128,11.081560283687942
age,LDA_similarity,0.6,199,1128,17.641843971631204
age,LDA_similarity,0.8,502,1128,44.50354609929078
age,LDA_similarity,0.9,778,1128,68.97163120567376
age,LSA_similarity,0.4,28,1128,2.4822695035460995
age,LSA_similarity,0.5,108,1128,9.574468085106384
age,LSA_similarity,0.6,229,1128,20.30141843971631
age,LSA_similarity,0.8,672,1128,59.57446808510638
age,LSA_similarity,0.9,948,1128,84.04255319148936
disability,BERT_similarity,0.5,1,1004,0.099601593625498
disability,BERT_similarity,0.6,2,1004,0.199203187250996
disability,BERT_similarity,0.8,3,1004,0.29880478087649404
disability,BERT_similarity,0.9,62,1004,6.175298804780876
disability,LDA_similarity,0.1,14,1004,1.394422310756972
disability,LDA_similarity,0.2,35,1004,3.48605577689243
disability,LDA_similarity,0.4,111,1004,11.055776892430279
disability,LDA_similarity,0.5,179,1004,17.828685258964143
disability,LDA_similarity,0.6,263,1004,26.195219123505975
disability,LDA_similarity,0.8,536,1004,53.38645418326693
disability,LDA_similarity,0.9,743,1004,74.00398406374502
disability,LSA_similarity,0.1,2,1004,0.199203187250996
disability,LSA_similarity,0.2,3,1004,0.29880478087649404
disability,LSA_similarity,0.4,8,1004,0.796812749003984
disability,LSA_similarity,0.5,29,1004,2.888446215139442
disability,LSA_similarity,0.6,87,1004,8.665338645418327
disability,LSA_similarity,0.8,454,1004,45.21912350597609
disability,LSA_similarity,0.9,773,1004,76.99203187250995
gender,BERT_similarity,0.8,5,1372,0.36443148688046645
gender,BERT_similarity,0.9,70,1372,5.1020408163265305
gender,LDA_similarity,0.1,6,1372,0.43731778425655976
gender,LDA_similarity,0.2,21,1372,1.530612244897959
gender,LDA_similarity,0.4,68,1372,4.956268221574344
gender,LDA_similarity,0.5,102,1372,7.434402332361516
gender,LDA_similarity,0.6,165,1372,12.026239067055394
gender,LDA_similarity,0.8,461,1372,33.60058309037901
gender,LDA_similarity,0.9,806,1372,58.74635568513119
gender,LSA_similarity,0.2,4,1372,0.2915451895043732
gender,LSA_similarity,0.4,71,1372,5.174927113702624
gender,LSA_similarity,0.5,151,1372,11.005830903790088
gender,LSA_similarity,0.6,312,1372,22.740524781341108
gender,LSA_similarity,0.8,818,1372,59.62099125364432
gender,LSA_similarity,0.9,1137,1372,82.87172011661808
nationality,BERT_similarity,0.5,1,1280,0.078125
nationality,BERT_similarity,0.6,3,1280,0.234375
nationality,BERT_similarity,0.8,8,1280,0.625
nationality,BERT_similarity,0.9,137,1280,10.703125
nationality,LDA_similarity,0.1,4,1280,0.3125
nationality,LDA_similarity,0.2,13,1280,1.015625
nationality,LDA_similarity,0.4,46,1280,3.5937499999999996
nationality,LDA_similarity,0.5,73,1280,5.703125
nationality,LDA_similarity,0.6,117,1280,9.140625
nationality,LDA_similarity,0.8,367,1280,28.671875000000004
nationality,LDA_similarity,0.9,674,1280,52.65625000000001
nationality,LSA_similarity,0.1,2,1280,0.15625
nationality,LSA_similarity,0.2,2,1280,0.15625
nationality,LSA_similarity,0.4,7,1280,0.546875
nationality,LSA_similarity,0.5,22,1280,1.7187500000000002
nationality,LSA_similarity,0.6,54,1280,4.21875
nationality,LSA_similarity,0.8,279,1280,21.796875
nationality,LSA_similarity,0.9,651,1280,50.85937499999999
physical-appearance,BERT_similarity,0.8,1,1020,0.09803921568627451
physical-appearance,BERT_similarity,0.9,26,1020,2.549019607843137
physical-appearance,LDA_similarity,0.1,9,1020,0.8823529411764706
physical-appearance,LDA_similarity,0.2,17,1020,1.6666666666666667
physical-appearance,LDA_similarity,0.4,60,1020,5.88235294117647
physical-appearance,LDA_similarity,0.5,99,1020,9.705882352941178
physical-appearance,LDA_similarity,0.6,138,1020,13.529411764705882
physical-appearance,LDA_similarity,0.8,319,1020,31.274509803921568
physical-appearance,LDA_similarity,0.9,522,1020,51.17647058823529
physical-appearance,LSA_similarity,0.4,6,1020,0.5882352941176471
physical-appearance,LSA_similarity,0.5,15,1020,1.4705882352941175
physical-appearance,LSA_similarity,0.6,41,1020,4.019607843137255
physical-appearance,LSA_similarity,0.8,233,1020,22.84313725490196
physical-appearance,LSA_similarity,0.9,561,1020,55.00000000000001
race-color,BERT_similarity,0.5,1,1456,0.06868131868131869
race-color,BERT_similarity,0.6,7,1456,0.4807692307692308
race-color,BERT_similarity,0.8,14,1456,0.9615384615384616
race-color,BERT_similarity,0.9,121,1456,8.31043956043956
race-color,LDA_similarity,0.1,21,1456,1.4423076923076923
race-color,LDA_similarity,0.2,28,1456,1.9230769230769231
race-color,LDA_similarity,0.4,73,1456,5.013736263736264
race-color,LDA_similarity,0.5,114,1456,7.829670329670329
race-color,LDA_similarity,0.6,186,1456,12.774725274725274
race-color,LDA_similarity,0.8,494,1456,33.92857142857143
race-color,LDA_similarity,0.9,800,1456,54.94505494505495
race-color,LSA_similarity,0.1,11,1456,0.7554945054945055
race-color,LSA_similarity,0.2,11,1456,0.7554945054945055
race-color,LSA_similarity,0.4,25,1456,1.7170329670329672
race-color,LSA_similarity,0.5,52,1456,3.571428571428571
race-color,LSA_similarity,0.6,149,1456,10.233516483516484
race-color,LSA_similarity,0.8,659,1456,45.260989010989015
race-color,LSA_similarity,0.9,1082,1456,74.31318681318682
religion,BERT_similarity,0.6,4,1182,0.338409475465313
religion,BERT_similarity,0.8,9,1182,0.7614213197969544
religion,BERT_similarity,0.9,94,1182,7.952622673434856
religion,LDA_similarity,0.1,18,1182,1.5228426395939088
religion,LDA_similarity,0.2,33,1182,2.7918781725888326
religion,LDA_similarity,0.4,82,1182,6.937394247038917
religion,LDA_similarity,0.5,125,1182,10.575296108291033
religion,LDA_similarity,0.6,204,1182,17.258883248730964
religion,LDA_similarity,0.8,536,1182,45.346869712351946
religion,LDA_similarity,0.9,817,1182,69.1201353637902
religion,LSA_similarity,0.1,8,1182,0.676818950930626
religion,LSA_similarity,0.2,8,1182,0.676818950930626
religion,LSA_similarity,0.4,20,1182,1.6920473773265652
religion,LSA_similarity,0.5,56,1182,4.737732656514383
religion,LSA_similarity,0.6,201,1182,17.00507614213198
religion,LSA_similarity,0.8,753,1182,63.70558375634518
religion,LSA_similarity,0.9,1056,1182,89.34010152284264
sexual-orientation,BERT_similarity,0.8,3,1116,0.2688172043010753
sexual-orientation,BERT_similarity,0.9,32,1116,2.867383512544803
sexual-orientation,LDA_similarity,0.1,3,1116,0.2688172043010753
sexual-orientation,LDA_similarity,0.2,10,1116,0.8960573476702508
sexual-orientation,LDA_similarity,0.4,37,1116,3.315412186379928
sexual-orientation,LDA_similarity,0.5,69,1116,6.182795698924731
sexual-orientation,LDA_similarity,0.6,104,1116,9.31899641577061
sexual-orientation,LDA_similarity,0.8,334,1116,29.92831541218638
sexual-orientation,LDA_similarity,0.9,602,1116,53.94265232974911
sexual-orientation,LSA_similarity,0.2,1,1116,0.08960573476702509
sexual-orientation,LSA_similarity,0.4,9,1116,0.8064516129032258
sexual-orientation,LSA_similarity,0.5,34,1116,3.046594982078853
sexual-orientation,LSA_similarity,0.6,124,1116,11.11111111111111
sexual-orientation,LSA_similarity,0.8,610,1116,54.659498207885306
sexual-orientation,LSA_similarity,0.9,924,1116,82.79569892473118
socioeconomic,BERT_similarity,0.6,2,1300,0.15384615384615385
socioeconomic,BERT_similarity,0.8,3,1300,0.23076923076923078
socioeconomic,BERT_similarity,0.9,103,1300,7.923076923076923
socioeconomic,LDA_similarity,0.1,14,1300,1.0769230769230769
socioeconomic,LDA_similarity,0.2,41,1300,3.1538461538461537
socioeconomic,LDA_similarity,0.4,162,1300,12.461538461538462
socioeconomic,LDA_similarity,0.5,258,1300,19.846153846153847
socioeconomic,LDA_similarity,0.6,381,1300,29.307692307692307
socioeconomic,LDA_similarity,0.8,729,1300,56.07692307692308
socioeconomic,LDA_similarity,0.9,988,1300,76.0
socioeconomic,LSA_similarity,0.1,2,1300,0.15384615384615385
