bias_type,metric,used_threshold,FAIL,PASS
age,BERT_similarity,0.1,0,1128
age,BERT_similarity,0.2,0,1128
age,BERT_similarity,0.3,0,1128
age,BERT_similarity,0.4,0,1128
age,BERT_similarity,0.5,0,1128
age,BERT_similarity,0.6,0,1128
age,BERT_similarity,0.7,0,1128
age,BERT_similarity,0.8,0,1128
age,BERT_similarity,0.9,41,1087
age,LDA_similarity,0.1,6,1122
age,LDA_similarity,0.2,19,1109
age,LDA_similarity,0.3,47,1081
age,LDA_similarity,0.4,77,1051
age,LDA_similarity,0.5,125,1003
age,LDA_similarity,0.6,199,929
age,LDA_similarity,0.7,313,815
age,LDA_similarity,0.8,502,626
age,LDA_similarity,0.9,778,350
age,LSA_similarity,0.1,0,1128
age,LSA_similarity,0.2,0,1128
age,LSA_similarity,0.3,4,1124
age,LSA_similarity,0.4,28,1100
age,LSA_similarity,0.5,108,1020
age,LSA_similarity,0.6,229,899
age,LSA_similarity,0.7,394,734
age,LSA_similarity,0.8,672,456
age,LSA_similarity,0.9,948,180
disability,BERT_similarity,0.1,0,1004
disability,BERT_similarity,0.2,0,1004
disability,BERT_similarity,0.3,0,1004
disability,BERT_similarity,0.4,0,1004
disability,BERT_similarity,0.5,1,1003
disability,BERT_similarity,0.6,2,1002
disability,BERT_similarity,0.7,3,1001
disability,BERT_similarity,0.8,3,1001
disability,BERT_similarity,0.9,62,942
disability,LDA_similarity,0.1,14,990
disability,LDA_similarity,0.2,35,969
disability,LDA_similarity,0.3,67,937
disability,LDA_similarity,0.4,111,893
disability,LDA_similarity,0.5,179,825
disability,LDA_similarity,0.6,263,741
disability,LDA_similarity,0.7,387,617
disability,LDA_similarity,0.8,536,468
disability,LDA_similarity,0.9,743,261
disability,LSA_similarity,0.1,2,1002
disability,LSA_similarity,0.2,3,1001
disability,LSA_similarity,0.3,3,1001
disability,LSA_similarity,0.4,8,996
disability,LSA_similarity,0.5,29,975
disability,LSA_similarity,0.6,87,917
disability,LSA_similarity,0.7,217,787
disability,LSA_similarity,0.8,454,550
disability,LSA_similarity,0.9,773,231
gender,BERT_similarity,0.1,0,1372
gender,BERT_similarity,0.2,0,1372
gender,BERT_similarity,0.3,0,1372
gender,BERT_similarity,0.4,0,1372
gender,BERT_similarity,0.5,0,1372
gender,BERT_similarity,0.6,0,1372
gender,BERT_similarity,0.7,0,1372
gender,BERT_similarity,0.8,5,1367
gender,BERT_similarity,0.9,70,1302
gender,LDA_similarity,0.1,6,1366
gender,LDA_similarity,0.2,21,1351
gender,LDA_similarity,0.3,40,1332
