,metric,used_threshold,FAIL,PASS
0,BERT_similarity,0.1,0,10849
1,BERT_similarity,0.2,0,10849
2,BERT_similarity,0.3,0,10849
3,BERT_similarity,0.4,2,10847
4,BERT_similarity,0.5,8,10841
5,BERT_similarity,0.6,10,10839
6,BERT_similarity,0.7,41,10808
7,BERT_similarity,0.8,232,10617
8,BERT_similarity,0.9,2587,8262
9,LDA_similarity,0.1,390,10459
10,LDA_similarity,0.2,778,10071
11,LDA_similarity,0.3,1299,9550
12,LDA_similarity,0.4,1937,8912
13,LDA_similarity,0.5,2691,8158
14,LDA_similarity,0.6,3644,7205
15,LDA_similarity,0.7,4833,6016
16,LDA_similarity,0.8,6274,4575
17,LDA_similarity,0.9,8289,2560
18,LSA_similarity,0.1,8,10841
19,LSA_similarity,0.2,52,10797
20,LSA_similarity,0.3,199,10650
21,LSA_similarity,0.4,717,10132
22,LSA_similarity,0.5,1748,9101
23,LSA_similarity,0.6,3464,7385
24,LSA_similarity,0.7,5587,5262
25,LSA_similarity,0.8,7854,2995
26,LSA_similarity,0.9,10042,807
