,bias_type,metric,used_threshold,FAIL,PASS
0,age,BERT_similarity,0.1,0,1128
1,age,BERT_similarity,0.2,0,1128
2,age,BERT_similarity,0.3,0,1128
3,age,BERT_similarity,0.4,0,1128
4,age,BERT_similarity,0.5,2,1126
5,age,BERT_similarity,0.6,3,1125
6,age,BERT_similarity,0.7,4,1124
7,age,BERT_similarity,0.8,24,1104
8,age,BERT_similarity,0.9,218,910
9,age,LDA_similarity,0.1,33,1095
10,age,LDA_similarity,0.2,69,1059
11,age,LDA_similarity,0.3,118,1010
12,age,LDA_similarity,0.4,183,945
13,age,LDA_similarity,0.5,259,869
14,age,LDA_similarity,0.6,372,756
15,age,LDA_similarity,0.7,524,604
16,age,LDA_similarity,0.8,682,446
17,age,LDA_similarity,0.9,900,228
18,age,LSA_similarity,0.1,1,1127
19,age,LSA_similarity,0.2,5,1123
20,age,LSA_similarity,0.3,19,1109
21,age,LSA_similarity,0.4,108,1020
22,age,LSA_similarity,0.5,251,877
23,age,LSA_similarity,0.6,457,671
24,age,LSA_similarity,0.7,707,421
25,age,LSA_similarity,0.8,903,225
26,age,LSA_similarity,0.9,1066,62
27,disability,BERT_similarity,0.1,0,1004
28,disability,BERT_similarity,0.2,0,1004
29,disability,BERT_similarity,0.3,0,1004
30,disability,BERT_similarity,0.4,1,1003
31,disability,BERT_similarity,0.5,1,1003
32,disability,BERT_similarity,0.6,1,1003
33,disability,BERT_similarity,0.7,2,1002
34,disability,BERT_similarity,0.8,15,989
35,disability,BERT_similarity,0.9,265,739
36,disability,LDA_similarity,0.1,63,941
37,disability,LDA_similarity,0.2,118,886
38,disability,LDA_similarity,0.3,194,810
39,disability,LDA_similarity,0.4,266,738
40,disability,LDA_similarity,0.5,351,653
41,disability,LDA_similarity,0.6,443,561
42,disability,LDA_similarity,0.7,550,454
43,disability,LDA_similarity,0.8,677,327
44,disability,LDA_similarity,0.9,840,164
45,disability,LSA_similarity,0.1,1,1003
46,disability,LSA_similarity,0.2,4,1000
47,disability,LSA_similarity,0.3,16,988
48,disability,LSA_similarity,0.4,77,927
49,disability,LSA_similarity,0.5,193,811
50,disability,LSA_similarity,0.6,365,639
51,disability,LSA_similarity,0.7,523,481
52,disability,LSA_similarity,0.8,728,276
53,disability,LSA_similarity,0.9,922,82
54,gender,BERT_similarity,0.1,0,1372
