metric,used_threshold,fairness_bugs,total_cases,fail_rate,fail_rate_diff_from_mean
BERT_similarity,0.8,44,10850,0.4055299539170507,-24.0073732718894
BERT_similarity,0.9,1538,10850,14.17511520737327,-10.237788018433179
LDA_similarity,0.1,117,10850,1.0783410138248848,-23.334562211981563
LDA_similarity,0.2,297,10850,2.737327188940092,-21.675576036866357
LDA_similarity,0.4,1091,10850,10.055299539170507,-14.357603686635942
LDA_similarity,0.5,1755,10850,16.175115207373274,-8.237788018433175
LDA_similarity,0.6,2674,10850,24.64516129032258,0.23225806451613096
LDA_similarity,0.8,5475,10850,50.46082949308756,26.04792626728111
LDA_similarity,0.9,7750,10850,71.42857142857143,47.015668202764985
LSA_similarity,0.2,2,10850,0.018433179723502304,-24.394470046082947
LSA_similarity,0.4,185,10850,1.705069124423963,-22.707834101382485
LSA_similarity,0.5,681,10850,6.276497695852534,-18.136405529953915
LSA_similarity,0.6,1830,10850,16.86635944700461,-7.546543778801841
LSA_similarity,0.8,6690,10850,61.6589861751152,37.24608294930876
LSA_similarity,0.9,9603,10850,88.50691244239631,64.09400921658987
