,metric,used_threshold,FAIL,PASS
0,BERT_similarity,0.1,0,10850
1,BERT_similarity,0.2,0,10850
2,BERT_similarity,0.3,0,10850
3,BERT_similarity,0.4,0,10850
4,BERT_similarity,0.5,0,10850
5,BERT_similarity,0.6,0,10850
6,BERT_similarity,0.7,2,10848
7,BERT_similarity,0.8,44,10806
8,BERT_similarity,0.9,1538,9312
9,LDA_similarity,0.1,117,10733
10,LDA_similarity,0.2,297,10553
11,LDA_similarity,0.3,628,10222
12,LDA_similarity,0.4,1091,9759
13,LDA_similarity,0.5,1755,9095
14,LDA_similarity,0.6,2674,8176
15,LDA_similarity,0.7,3865,6985
16,LDA_similarity,0.8,5475,5375
17,LDA_similarity,0.9,7750,3100
18,LSA_similarity,0.1,0,10850
19,LSA_similarity,0.2,2,10848
20,LSA_similarity,0.3,31,10819
21,LSA_similarity,0.4,185,10665
22,LSA_similarity,0.5,681,10169
23,LSA_similarity,0.6,1830,9020
24,LSA_similarity,0.7,3801,7049
25,LSA_similarity,0.8,6690,4160
26,LSA_similarity,0.9,9603,1247
