,bias_type,metric,used_threshold,FAIL,PASS
0,age,BERT_similarity,0.1,0,1128
1,age,BERT_similarity,0.2,0,1128
2,age,BERT_similarity,0.3,0,1128
3,age,BERT_similarity,0.4,0,1128
4,age,BERT_similarity,0.5,0,1128
5,age,BERT_similarity,0.6,0,1128
6,age,BERT_similarity,0.7,0,1128
7,age,BERT_similarity,0.8,2,1126
8,age,BERT_similarity,0.9,93,1035
9,age,LDA_similarity,0.1,19,1109
10,age,LDA_similarity,0.2,33,1095
11,age,LDA_similarity,0.3,76,1052
12,age,LDA_similarity,0.4,127,1001
13,age,LDA_similarity,0.5,201,927
14,age,LDA_similarity,0.6,303,825
15,age,LDA_similarity,0.7,442,686
16,age,LDA_similarity,0.8,632,496
17,age,LDA_similarity,0.9,869,259
18,age,LSA_similarity,0.1,0,1128
19,age,LSA_similarity,0.2,0,1128
20,age,LSA_similarity,0.3,5,1123
21,age,LSA_similarity,0.4,38,1090
22,age,LSA_similarity,0.5,136,992
23,age,LSA_similarity,0.6,301,827
24,age,LSA_similarity,0.7,531,597
25,age,LSA_similarity,0.8,831,297
26,age,LSA_similarity,0.9,1055,73
27,disability,BERT_similarity,0.1,0,1004
28,disability,BERT_similarity,0.2,0,1004
29,disability,BERT_similarity,0.3,0,1004
30,disability,BERT_similarity,0.4,0,1004
31,disability,BERT_similarity,0.5,0,1004
32,disability,BERT_similarity,0.6,0,1004
33,disability,BERT_similarity,0.7,0,1004
34,disability,BERT_similarity,0.8,1,1003
35,disability,BERT_similarity,0.9,159,845
36,disability,LDA_similarity,0.1,15,989
37,disability,LDA_similarity,0.2,46,958
38,disability,LDA_similarity,0.3,95,909
39,disability,LDA_similarity,0.4,160,844
40,disability,LDA_similarity,0.5,244,760
41,disability,LDA_similarity,0.6,369,635
42,disability,LDA_similarity,0.7,504,500
43,disability,LDA_similarity,0.8,637,367
44,disability,LDA_similarity,0.9,836,168
45,disability,LSA_similarity,0.1,0,1004
46,disability,LSA_similarity,0.2,0,1004
47,disability,LSA_similarity,0.3,2,1002
48,disability,LSA_similarity,0.4,10,994
49,disability,LSA_similarity,0.5,46,958
50,disability,LSA_similarity,0.6,171,833
51,disability,LSA_similarity,0.7,358,646
52,disability,LSA_similarity,0.8,599,405
53,disability,LSA_similarity,0.9,877,127
54,gender,BERT_similarity,0.1,0,1372
